 'Solon So
 'Michael Tadross
 'Carsten H.W. Lorenz
 'Willie Chan
 'Oren Peli
 'Moshe Diamant
 'John G. Scotti
 'Timothy M. Bourne
 'Redmond Morris
 'Todd Hallowell
 'Tracee Stanley
 'Robert Kulzer
 'Christian Colson
 'Eberhard Kayser
 'Remington Chase
 'Bradley Fuller
 'Allison Lyon Segan
 'Rapha\xc3\xabl Benoliel
 'Robert Simonds
 'Kate Ogborn
Richard Baratta
Su Armstrong
 'Ralph Winter
 'Marc Butan
 'Deborah Snyder
 'Pierre Spengler
Stokely Chaffin
David Blocker
George Lucas
 'Sandra Solares
 'Arnold Rifkin
 'Jim Dyer
 'Richard Curtis
 'Justis Greene
 'Keith Samples
Gilbert Adler
 'Christopher Godsick
 'Mark Gordon
 'Fisher Stevens
 'Neil Meron
 'Adam Somner
 'Bruce Cohen
Rick Berman
 'John W. Hyde
 'John Morrissey
 'Wendy Japhet
 'Julia Rosenberg
 'Tom Jacomb
Tim Burton
 'Michael G. Wilson
 'Art Linson
 'Jane Rosenthal
 'Charles Orme
Stephen J. Eads
 'Christopher Mapp
 'Jonathon Komack Martin
 'Craig Zadan
 'Clint Eastwood
 'Stewart Hall
 'Paul Freeman
 'Cary Woods
 'Hilary Swank
 'Beau Marks
 'Paul Maslansky
 'Erik Feig
 'Karen Kehela Sherwood
 'Barrie M. Osborne
 "Louis D'Esposito"
Barry Bernardi
 'Ori Marmur
 'Tim Zinnemann
 'Laura Moskowitz
Adam Bohling
 'Marlon Wayans
 'Paul Junger Witt
 'Douglas Curtis
 'Ethan Coen
 'Stuart Ford
 'Arnold Kopelson
 "Denise O'Dell"
 'Christopher Meledandri
Roger M. Bobb
 'Ron Halpern
 'Steven Paul
 'Roberto Malerba
Sandra Cunningham
 'Jean Doumanian
 'Mark Millar
 'Lorne Michaels
 'Joe Medjuck
 'Jose L. Rodriguez
Albert R. Broccoli
 'Brad Pitt
 'Tabrez Noorani
 'Catherine Meyers
 'Tom McNulty
 'Jon Landau
 'Martin Shafer
 'Eric Reid
 'Mireille Soria
 'Andrew Reimer
 'Nancy Juvonen
 'Dong Yu
 'Anne Carey
 'David Saunders
 'Marty Bowen
 'Richard Suckle
 'Tony Thomas
 'Yoram Globus
 'Michael Tollin
 'Matthew Stein
 'Renny Harlin
 'Marty Katz
 'Nancy Tenenbaum
 'Zhong-lun Ren
 'Michael Peyser
 'Jill Sobel Messick
 "Kirk D'Amico"
 'Michael Grillo
 'Nick Hamson
 'Doug Claybourne
 'Stephen Roberts
 'Guy East
 'Tony Ludwig
 'Will Clarke
 'Jonathan Filley
 'Tommy Turtle
 'Ben Waisbren
Don Carmody
 'Lorenzo di Bonaventura
 'John Penotti
 'Mark Gill
 'Spike Jonze
 'Mike Stenson
 'Christopher DeFaria
 'Morgan Spurlock
 'Wolfgang Petersen
 'William Vince
 'Steve Oedekerk
 'Julie Goldstein
 'Grant Hill
 'George Lucas
 'Jeff Levine
 'Matthew Cohan
 'Kim H. Winther
 'Lee Daniels
 'David B. Householter
 'Erwin Stoff
 'Dana Goldberg
 'Tobey Maguire
 'Charles B. Wessler
Mel Brooks
 'Jack Rollins
 'Kevin Halloran
Sarah Aubrey
 'Marc Missonnier
 'Robert Graf
Steven J. Boyd
Letty Aronson
 'Stephen McEveety
 'Mark Lipsky
 'Harry J. Ufland
 'Peter Schlessel
 'Adam Kuhn
 'Doug Metzger
 'Michael G. Nathanson
 'Ray Murphy Jr.
Zakaria Alaoui
 'Taylor Hackford
 'David Sproxton
 'Robert Rehme
 'Ted Elliott
 'Sara Risher
 'David Brown
 'Raffaella De Laurentiis
 'Georgia Kacandes
 'Liz Glotzer
 'Richard Sakai
 'Wesley Snipes
 "Robin O'Hara"
 'Nigel Green
 'Elliot Ferwerda
 'Tarquin Pack
 'Monica Levinson
 'Paul Weitz
 'George Zakk
 'Steven Saxton
 'John H. Williams
 'Michael Cowan
 'Eli Roth
 'Robert Evans
Matt Berenson
 'Andrew Panay
 'Tom Karnowski
 'Tom Heller
 'Walter Hill
 'Sheldon Kahn
 'Daniel S. Levine
 'John Calley
 'Cameron McCracken
 'Brett Ratner
 'Tony Scott
Jeff Abberley
 'Jim Wilson
Debra Martin Chase
 'Bruce Berman
 'Bruce S. Pustin
 'David Reid
 'Kelley Smith-Wait
 'Alan B. Curtiss
 'Jamie Selkirk
Peter Block
 'Steve Shareshian
 'Sharon Harel
 'Bernd Eichinger
 'Martin Moszkowicz
 'Paula Weinstein
Aditya Chopra
 'Steven Soderbergh
Chris Brigham
 'Gil Netter
 'Hannah Leader
 'Mehdi Sayah
 'Robert Rodriguez
 'Yash Chopra
 'Iain Smith
 'Sandra Rabins
 'Debra Hill
 'Ice Cube
 'Ethan Smith
 'Steve Robbins
 'Chris Hanley
 'John Jacobs
 'Gary Lucchesi
 'James L. Brooks
 'Jeffrey Silver
 'Chris Brigham
 'Michele Weisler
Todd Black
Jason Blum
 'Mason Novick
Bruce Cohen
 'Michael C. Gross
 'Brian Yuzna
 'Fred Roos
Elizabeth Avellan
 'Alan Ladd Jr.
 'Sara Giles
Roger Birnbaum
 'Dylan Sellers
Mohamed Khalaf Al-Mazrouei
 'Betty Thomas
 'Eric Fellner
 'Kim Henkel
 'Catherine Knapman
 'Steven P. Wegner
Peter Del Vecho
 'Eli Richbourg
 'W. Mark McNair
 'Robert Ortiz
 'Jon Peters
 'Derek Evans
 'Andrew Pfeffer
Michael Fottrell
 'Alan Greisman
 'Samantha Vincent
 'Bill Scott
 'Michael Fottrell
 'Pat Sandston
 'David J. Steinberg
 'David Crockett
 'Adam Sandler
 'Ben Haber
 'Brian Oliver
 'Alison Owen
 'Paul Hellerman
 'Marina Grasic
 'Reuben Cannon
 'Scott Mednick
 'Guy Tannahill
 'John Woo
 'Trish Hofmann
 'Tim Herlihy
 'Grace Gilroy
 'Kevin J. Messick
 'Karen Rosenfelt
 'Lucy Fisher
 'Samuel J. Brown
 'Joel B. Michaels
Willi B\xc3\xa4r
Jon Kilik
 'Alain Sarde
 'Bradford Simpson
 'Steve Starkey
 'David Siegel
 'Moustapha Akkad
 'Richard S. Wright
 'Steve Golin
 'Sidney Kimmel
 'Linda Favila
 'Kevin Misher
 'Brandon Grimes
 'Sigurjon Sighvatsson
 'Gilles Waterkeyn
 'Beau Flynn
 'Alan Greenspan
 'Tim Smith
 'David Coatsworth
 'Sean S. Cunningham
 'Donald Kushner
 'Rick Yorn
 'Derek Dauchy
 'Natascha Wharton
 'Andrew G. Vajna
 'Lee R. Mayes
 'Eda Kowan
 'Patrick Esposito
 'James Wan
 'Darin Scott
 'Brian Witten
Yoram Barzilai
 'Lawrence Turman
 'Jeremy Thomas
 'Terry Dougas
 'Paul White
David Coatsworth
Robert Chartoff
 'Rachael Horovitz
 'Adam Siegel
 'Derrick Tseng
 'Fran Walsh
 'James D. Stern
 'David Thwaites
 'Philip von Alvensleben
 'Ted Hope
 'Chris Chrisafis
 'James Cameron
Ryan Kavanaugh
Mark Amin
 'Stephen Jones
 'Andrew Stevens
 'Garrett Grant
 'Adam Merims
 'Michelle McGonagle
 'Thomas Tull
 'E. Bennett Walsh
 'Geyer Kosinski
 'Eileen Moran
 'Michael Roban
 'Steve Perry
 'Tobe Hooper
 'Jan Fantl
 'Chris Bender
 'Ralph S. Singleton
Tarak Ben Ammar
 'Brad Krevoy
 'Ethan Erwin
 'Mark Ordesky
 'Trudie Styler
 'Peter Fruchtman
 'Lloyd Phillips
 'Bob Yari
 'Stephen Hegyes
 'Tom Pevsner
 'Justin Lin
 'Tom Shadyac
 'Kevin Grady
 'Michael Burns
 'Cary Brokaw
 'Robyn Slovo
 'Michael Beugg
 "Matthew O'Toole"
 'Robert N. Fried
 'Michael Shamberg
 'Don Simpson
 'David Foster
 'Mark Herbert
 'JoAnne Sellar
 'Peter Morgan
 'Frank H\xc3\xbcbner
Brian Grazer
 'Robert Watts
 'Louis A. Stroller
 'Michael Green
 'Steve Gaub
 'Ronaldo Vasconcellos
 'Donald Rosenfeld
Jon Avnet
 'Gary Marcus
 'Ce\xc3\xa1n Chaffin
 'Ellen H. Schwartz
 'Jo Burn
 'Richard Hull
 'Russell Simmons
 'Albert S. Ruddy
 'Guillermo del Toro
 'Juan Carlos Coto
 'Jan Korbelin
 'Rob Zombie
 'Mark Canton
 'Romain Schroeder
 'Philip Steuer
 'Greg Shapiro
 'Andrew S. Karsch
 'Jeremy Bolt
 'Norm Waitt
 'Robert Shaye
 'Mairi Bett
 'Leigh Whannell
 'Chris Clark
 'Kerry Kohansky
